Phylum,x,y
Actinobacteria,59.4609,15.0562
Firmicutes,54.0157,-4.80989
Actinobacteria,47.9478,-43.2774
Firmicutes,-44.7805,-1.32506
Proteobacteria,3.14555,-22.357
Proteobacteria,0.181498,-75.9032
Actinobacteria,48.4258,-43.3273
Firmicutes,41.4157,-63.068
Actinobacteria,56.9228,15.6663
Proteobacteria,7.57028,-77.7987
Firmicutes,-44.8152,-1.27042
Proteobacteria,38.3543,-54.9554
Firmicutes,24.8467,-78.5442
Actinobacteria,-86.8261,30.4631
Firmicutes,6.72024,23.4045
Bacteroidetes,-78.3252,19.7418
Proteobacteria,3.14591,-22.3563
Bacteroidetes,-76.9678,23.603
Firmicutes,-27.1774,3.28857
Actinobacteria,48.7089,-42.5936
Firmicutes,-46.6384,16.6135
Proteobacteria,3.11387,-22.3593
Firmicutes,12.236,76.3896
Firmicutes,-46.165,1.08394
Actinobacteria,-86.8123,30.3159
Firmicutes,23.4144,-77.1169
Actinobacteria,30.8569,12.4793
Firmicutes,-45.0737,19.3992
Actinobacteria,27.3304,-62.5923
Firmicutes,-46.4763,4.88364
Firmicutes,-63.7861,-11.47
Bacteroidetes,24.3679,33.3731
Proteobacteria,75.9824,-27.888
Firmicutes,-90.299,-6.7025
Firmicutes,-9.80252,-50.7264
Firmicutes,44.2,-5.13753
Actinobacteria,-86.525,30.3345
Firmicutes,-8.4704,-18.9754
Firmicutes,28.4402,-44.1273
Firmicutes,17.3286,12.135
Actinobacteria,-16.9309,-75.1612
Actinobacteria,-10.4167,-85.1599
Firmicutes,-5.59407,73.2095
Actinobacteria,47.3863,-43.7704
Firmicutes,-24.3553,-55.4077
Firmicutes,-36.2237,20.6723
Firmicutes,-11.9025,-15.0619
Firmicutes,-8.3543,-50.6456
Firmicutes,38.7434,24.3635
Firmicutes,52.8092,-12.9107
Firmicutes,-16.963,-19.2723
Bacteroidetes,38.3139,13.3906
Firmicutes,-12.7752,-15.2785
Bacteroidetes,32.3137,53.3522
Firmicutes,59.3536,-47.0966
Firmicutes,-2.10511,-90.7674
Bacteroidetes,-75.6197,23.219
Firmicutes,-57.2159,39.0282
Firmicutes,71.7245,24.17
Bacteroidetes,4.7921,6.56758
Firmicutes,-11.1349,-56.0922
Bacteroidetes,37.0808,55.7702
Proteobacteria,30.1121,40.3299
Bacteroidetes,1.594,9.54402
Firmicutes,-7.28492,58.4165
Firmicutes,-62.1147,7.75324
Verrucomicrobia,60.7603,6.4219
Bacteroidetes,2.56128,-3.07342
Firmicutes,23.9616,-16.323
Firmicutes,-1.98799,-20.6588
Firmicutes,28.9685,-22.8797
Firmicutes,12.438,-67.1206
Bacteroidetes,-76.2018,23.4051
Firmicutes,-57.499,16.9716
Firmicutes,-62.8792,-2.99432
Euryarchaeota,40.3967,63.6789
Firmicutes,30.1939,-1.60815
Firmicutes,-21.1941,59.078
Firmicutes,-5.44388,-11.7982
Bacteroidetes,22.8274,32.3619
Firmicutes,-44.5843,-77.3997
Bacteroidetes,-30.9148,-22.8338
Firmicutes,-24.8093,-55.1139
Bacteroidetes,-34.9511,-30.0228
Firmicutes,-38.3592,36.343
Firmicutes,79.3689,3.82776
Firmicutes,45.3784,80.0457
Bacteroidetes,48.8992,35.0235
Firmicutes,1.29285,-17.2569
Euryarchaeota,40.6693,62.0777
Bacteroidetes,12.3933,-2.75032
